risk,alternative,C1,C2,C3,C4,C5,C6,C7,TOPSIS_CC
R1,Client,6.0,5.0,9.0,8.0,7.0,6.0,5.0,0.3485556761446863
R1,Contractor,8.0,8.0,7.0,6.0,6.0,7.0,7.0,0.6604835486923425
R1,Consultant,5.0,6.0,5.0,7.0,8.0,5.0,4.0,0.1532633301518929
R1,Shared,9.0,9.0,8.0,8.0,9.0,8.0,9.0,0.9201502047619009
R2,Client,4.0,4.0,8.0,8.0,5.0,6.0,4.0,0.2871771318868058
R2,Contractor,9.0,8.0,7.0,6.0,8.0,7.0,8.0,0.8767981559506144
R2,Consultant,6.0,7.0,4.0,7.0,8.0,4.0,5.0,0.4306104122858186
R2,Shared,7.0,7.0,7.0,7.0,7.0,6.0,6.0,0.6414230884022908
R3,Client,7.0,6.0,9.0,8.0,8.0,7.0,5.0,0.6795659690824437
R3,Contractor,6.0,8.0,6.0,5.0,7.0,6.0,7.0,0.5372933389245613
R3,Consultant,4.0,5.0,4.0,6.0,6.0,4.0,4.0,0.06258629853590261
R3,Shared,8.0,8.0,8.0,7.0,8.0,8.0,8.0,0.9000117018007516
R4,Client,7.0,5.0,9.0,8.0,6.0,7.0,5.0,0.6489812203923566
R4,Contractor,5.0,7.0,6.0,5.0,8.0,6.0,7.0,0.4855598687904817
R4,Consultant,3.0,4.0,4.0,6.0,5.0,4.0,4.0,0.050784501440404264
R4,Shared,8.0,8.0,8.0,7.0,7.0,8.0,8.0,0.9115214654312657
R5,Client,5.0,6.0,9.0,8.0,7.0,8.0,7.0,0.8592515824582178
R5,Contractor,4.0,7.0,6.0,5.0,6.0,5.0,5.0,0.5155193611367564
R5,Consultant,3.0,4.0,4.0,6.0,5.0,4.0,4.0,0.06931856729378678
R5,Shared,5.0,7.0,8.0,7.0,7.0,7.0,6.0,0.8454314342901488
R6,Client,6.0,6.0,9.0,8.0,7.0,7.0,6.0,0.6695459340861601
R6,Contractor,4.0,6.0,6.0,4.0,5.0,5.0,6.0,0.2389628632122976
R6,Consultant,4.0,5.0,4.0,6.0,8.0,4.0,4.0,0.16930622827907132
R6,Shared,7.0,8.0,8.0,7.0,8.0,8.0,7.0,0.8962012987113976
