expert_id,criterion_left,criterion_right,comparison_ratio
Expert_1,C1,C2,2.0
Expert_1,C1,C3,3.0
Expert_1,C1,C4,3.0
Expert_1,C1,C5,3.0
Expert_1,C1,C6,2.0
Expert_1,C1,C7,2.0
Expert_1,C2,C3,2.0
Expert_1,C2,C4,2.0
Expert_1,C2,C5,3.0
Expert_1,C2,C6,1.0
Expert_1,C2,C7,2.0
Expert_1,C3,C4,0.5
Expert_1,C3,C5,2.0
Expert_1,C3,C6,1.0
Expert_1,C3,C7,1.0
Expert_1,C4,C5,2.0
Expert_1,C4,C6,1.0
Expert_1,C4,C7,3.0
Expert_1,C5,C6,0.5
Expert_1,C5,C7,1.0
Expert_1,C6,C7,2.0
Expert_2,C1,C2,2.0
Expert_2,C1,C3,2.0
Expert_2,C1,C4,3.0
Expert_2,C1,C5,3.0
Expert_2,C1,C6,2.0
Expert_2,C1,C7,2.0
Expert_2,C2,C3,2.0
Expert_2,C2,C4,2.0
Expert_2,C2,C5,3.0
Expert_2,C2,C6,2.0
Expert_2,C2,C7,2.0
Expert_2,C3,C4,2.0
Expert_2,C3,C5,2.0
Expert_2,C3,C6,3.0
Expert_2,C3,C7,1.0
Expert_2,C4,C5,2.0
Expert_2,C4,C6,1.0
Expert_2,C4,C7,1.0
Expert_2,C5,C6,1.0
Expert_2,C5,C7,1.0
Expert_2,C6,C7,1.0
Expert_3,C1,C2,2.0
Expert_3,C1,C3,3.0
Expert_3,C1,C4,3.0
Expert_3,C1,C5,4.0
Expert_3,C1,C6,2.0
Expert_3,C1,C7,2.0
Expert_3,C2,C3,1.0
Expert_3,C2,C4,2.0
Expert_3,C2,C5,3.0
Expert_3,C2,C6,2.0
Expert_3,C2,C7,2.0
Expert_3,C3,C4,1.0
Expert_3,C3,C5,2.0
Expert_3,C3,C6,1.0
Expert_3,C3,C7,3.0
Expert_3,C4,C5,2.0
Expert_3,C4,C6,0.5
Expert_3,C4,C7,2.0
Expert_3,C5,C6,0.5
Expert_3,C5,C7,1.0
Expert_3,C6,C7,2.0
Expert_4,C1,C2,2.0
Expert_4,C1,C3,2.0
Expert_4,C1,C4,3.0
Expert_4,C1,C5,4.0
Expert_4,C1,C6,2.0
Expert_4,C1,C7,3.0
Expert_4,C2,C3,1.0
Expert_4,C2,C4,2.0
Expert_4,C2,C5,3.0
Expert_4,C2,C6,2.0
Expert_4,C2,C7,2.0
Expert_4,C3,C4,2.0
Expert_4,C3,C5,2.0
Expert_4,C3,C6,1.0
Expert_4,C3,C7,2.0
Expert_4,C4,C5,2.0
Expert_4,C4,C6,1.0
Expert_4,C4,C7,1.0
Expert_4,C5,C6,0.5
Expert_4,C5,C7,1.0
Expert_4,C6,C7,1.0
Expert_5,C1,C2,2.0
Expert_5,C1,C3,2.0
Expert_5,C1,C4,3.0
Expert_5,C1,C5,5.0
Expert_5,C1,C6,2.0
Expert_5,C1,C7,2.0
Expert_5,C2,C3,2.0
Expert_5,C2,C4,2.0
Expert_5,C2,C5,3.0
Expert_5,C2,C6,2.0
Expert_5,C2,C7,2.0
